Date,UBSFY,EA,TTWO,,FTSE,,ATVI,NTDOY,SNE
2020/8/17,16.34,140.449997,175.210007,,6076.600098,,81.989998,60.919998,83.449997
2020/8/18,16.41,142.580002,176.979996,,6112,,83.129997,63.049999,82.980003
2020/8/19,16.4,141.860001,172.630005,,6013.299805,,81.980003,63.200001,81.099998
2020/8/20,16.299999,143.479996,174.429993,,6001.899902,,84,63.099998,79.410004
2020/8/21,16.48,141.210007,173.139999,,6104.700195,,83.209999,64.309998,78.75
2020/8/24,16.26,142.330002,172.550003,,6037,,83.099998,68.080002,79.769997
2020/8/25,16.16,142.210007,173.020004,,6045.600098,,83.620003,66.400002,79.370003
2020/8/26,16.49,143.630005,175.389999,,6000,,84.480003,68.650002,81.120003
2020/8/27,16.33,141.770004,172.669998,,5963.600098,,83.900002,67.540001,80.419998
2020/8/28,16.27,140.869995,171.059998,,5862.100098,,83.209999,67.239998,79.389999
2020/8/31,16.4,139.470001,171.190002,,5941,,83.519997,67.370003,78.639999
2020/9/1,16.549999,138.289993,172.5,,5850.899902,,83.330002,70.5,79.5
2020/9/2,16.719999,139.559998,172.830002,,5799.100098,,83.449997,70.080002,79.489998
2020/9/3,15.83,132.820007,166.600006,,5937.399902,,80.309998,70.099998,77.379997
2020/9/4,15.61,130.130005,161.710007,,5930.299805,,79.010002,70.68,77.660004
2020/9/8,15.84,124.300003,156.220001,,6012.799805,,76.18,66.760002,76.010002
2020/9/9,16.25,128.699997,158.589996,,6003.299805,,79.589996,69.629997,77.480003
2020/9/10,16.41,127.260002,154.320007,,6032.100098,,79.089996,68.889999,76.5
2020/9/11,17.48,126.019997,153.529999,,6026.299805,,77.970001,69.989998,77.019997
2020/9/14,17.4,126.18,156.479996,,6105.5,,79.120003,70.349998,77.720001
2020/9/15,17.450001,128.330002,160.589996,,6078.5,,81.75,71.379997,76.459999
2020/9/16,17.02,126.739998,157.070007,,6049.899902,,79.989998,71.440002,76.989998
2020/9/17,17.049999,125.260002,159.449997,,6007.100098,,78.769997,70.519997,77.610001
2020/9/18,17.15,125.900002,158.490005,,5804.299805,,80.089996,72.059998,78.959999
2020/9/21,17.209999,128.289993,164.339996,,5829.5,,81.410004,71.349998,78.269997
2020/9/22,17.360001,131.020004,166.220001,,5899.299805,,82.650002,71.5,78.699997
2020/9/23,17.200001,128.419998,162.309998,,5822.799805,,80.129997,70.980003,77.330002
2020/9/24,17.389999,129.320007,163.289993,,5842.700195,,79.690002,70.199997,77.779999
2020/9/25,17.860001,131.190002,165.779999,,5927.899902,,80.980003,70.339996,77.260002
2020/9/28,17.74,132.279999,167.460007,,5897.5,,81.949997,70.599998,77.279999
2020/9/29,17.82,130.020004,164.339996,,5866.100098,,80.779999,71.639999,77.480003
2020/9/30,18.02,130.410004,165.220001,,5879.5,,80.949997,70.900002,76.75
2020/10/1,18.549999,132.779999,166.110001,,5902.100098,,82.68,71.300003,76.449997
2020/10/2,18.559999,129.070007,160.149994,,5942.899902,,78.300003,69.459999,74
2020/10/5,18.719999,130.720001,164.759995,,5949.899902,,79.989998,67.800003,75.07
2020/10/6,18.32,124.839996,162.199997,,5946.299805,,78.300003,67.68,73.540001
2020/10/7,18.77,125.010002,160.960007,,5978,,78.470001,68.559998,73.370003
2020/10/8,18.870001,125.989998,160.419998,,6016.700195,,77.800003,68.849998,74.129997
2020/10/9,19.33,127.449997,161.639999,,6001.399902,,78.209999,68.779999,74.550003
2020/10/12,19.610001,130.880005,167.139999,,5969.700195,,81.059998,70.25,74.589996
2020/10/13,19.450001,132.940002,169.160004,,5935.100098,,81.980003,70.419998,74.690002
2020/10/14,19.610001,132.75,168.940002,,5832.5,,81.900002,70.269997,74.410004
2020/10/15,19.4,131.339996,168.029999,,5919.600098,,80.349998,69.160004,73.269997
2020/10/16,19.379999,131.919998,168.220001,,5884.700195,,80.620003,68.849998,72.669998
2020/10/19,19.18,129.869995,165.529999,,5889.200195,,80.080002,68.709999,72.93
2020/10/20,19.139999,127.360001,164.440002,,5776.5,,80.139999,67.940002,75.57
2020/10/21,19.040001,127.650002,164.550003,,5785.700195,,81.940002,67.099998,74.639999
2020/10/22,19.02,126.919998,163.289993,,5860.299805,,80.769997,66.989998,74.599998
2020/10/23,19.16,126.769997,164.429993,,5792,,81.040001,65.599998,75.43
2020/10/26,19,126.68,165.050003,,5729,,80.489998,65.459999,76.199997
2020/10/27,19.82,126.620003,167.360001,,5582.799805,,80.959999,68.349998,77.470001
