code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000002,2017-10-16,26.96,26.97,26.31,26.13,315008.09,-0.62,-2.3,26.76,26.653,357402.9,406743.04,611645.72,0.32
000002,2017-10-17,26.32,26.52,26.21,26.14,184811.06,-0.1,-0.38,26.684,26.598,320944.86,365919.69,598773.19,0.19
000002,2017-10-18,26.21,26.56,26.43,25.61,334052.41,0.22,0.84,26.596,26.557,302555.86,362571.51,592102.62,0.34
000002,2017-10-19,26.44,26.57,26.05,26.01,202525.56,-0.38,-1.44,26.386,26.521,273265.03,356589.37,544694.1,0.21
000002,2017-10-20,26.0,26.23,26.16,25.73,145915.38,0.11,0.42,26.232,26.512,236462.5,336605.64,474465.08,0.15
000002,2017-10-23,26.17,26.2,25.93,25.77,197527.2,-0.23,-0.88,26.156,26.458,212966.32,285184.61,431189.29,0.2
000002,2017-10-24,25.81,27.2,27.0,25.81,509187.97,1.07,4.13,26.314,26.499,277841.7,299393.28,396833.27,0.52
000002,2017-10-25,27.01,28.0,27.43,26.86,445727.44,0.43,1.59,26.514,26.555,300176.71,301366.28,388464.85,0.46
000002,2017-10-26,27.3,27.88,27.53,26.91,422766.84,0.1,0.36,26.81,26.598,344224.97,308745.0,382786.99,0.44
000002,2017-10-27,27.7,28.28,27.5,27.26,447443.84,-0.03,-0.11,27.078,26.655,404530.66,320496.58,384004.53,0.46
000002,2017-10-30,27.5,29.0,28.98,27.41,676711.06,1.48,5.38,27.688,26.922,500367.43,356666.88,381704.96,0.7
000002,2017-10-31,28.8,29.28,28.96,28.28,463277.75,-0.02,-0.07,28.08,27.197,491185.39,384513.55,375216.62,0.48
000002,2017-11-01,28.96,30.54,29.15,28.73,622931.19,0.19,0.66,28.424,27.469,526626.14,413401.42,387986.47,0.64
000002,2017-11-02,29.3,29.48,29.45,28.68,361906.47,0.3,1.03,28.808,27.809,514454.06,429339.51,392964.44,0.37
000002,2017-11-03,29.23,29.52,28.19,28.05,455428.47,-1.26,-4.28,28.946,28.012,516050.99,460290.82,398448.23,0.47
000002,2017-11-06,28.2,28.27,27.46,26.95,509485.09,-0.73,-2.59,28.642,28.165,482605.79,491486.61,388335.61,0.52
000002,2017-11-07,27.36,27.95,27.85,27.3,379818.16,0.39,1.42,28.42,28.25,465913.88,478549.63,388971.46,0.39
000002,2017-11-08,27.75,28.14,27.64,27.41,398661.28,-0.21,-0.75,28.118,28.271,421059.89,473843.01,387604.65,0.41
000002,2017-11-09,27.52,27.79,27.67,27.3,234126.98,0.03,0.11,27.762,28.285,395504.0,454979.03,381862.01,0.24
000002,2017-11-10,27.6,27.83,27.51,27.36,305912.75,-0.16,-0.58,27.626,28.286,365600.85,440825.92,380661.25,0.32
000004,2017-08-01,22.43,22.48,22.36,22.16,6533.88,0.05,0.22,22.152,21.79,12615.28,13115.21,15894.63,0.79
000004,2017-08-02,22.37,22.37,21.85,21.82,7923.95,-0.51,-2.28,22.238,21.839,12700.98,12302.4,15529.65,0.96
000004,2017-08-03,21.81,22.35,22.22,21.61,8492.92,0.37,1.69,22.174,21.91,8902.85,10967.3,15138.55,1.02
000004,2017-08-04,22.18,22.32,21.88,21.88,7110.22,-0.34,-1.53,22.124,21.948,7462.58,10366.81,14694.06,0.86
000004,2017-08-07,21.8,22.13,22.0,21.6,6696.42,0.12,0.55,22.062,22.011,7351.48,10119.53,14166.68,0.81
000004,2017-08-08,21.98,22.09,21.91,21.51,8108.19,-0.09,-0.41,21.972,22.062,7666.34,10140.81,13924.69,0.98
000004,2017-08-09,21.92,22.33,22.17,21.88,10677.87,0.26,1.19,22.036,22.137,8217.12,10459.05,13567.22,1.29
000004,2017-08-10,22.21,22.28,21.8,21.6,9005.71,-0.37,-1.67,21.952,22.063,8319.68,8611.27,13304.92,1.09
000004,2017-08-11,21.67,22.79,22.01,21.51,17957.17,0.21,0.96,21.978,22.051,10489.07,8975.83,13149.7,2.16
000004,2017-08-14,21.64,22.19,22.18,21.64,11302.62,0.17,0.77,22.014,22.038,11410.31,9380.9,12160.61,1.36
000004,2017-08-15,22.17,22.4,22.22,22.01,9489.9,0.04,0.18,22.076,22.024,11686.65,9676.5,11395.85,1.14
000004,2017-08-16,22.22,22.76,22.66,22.2,16829.01,0.44,1.98,22.174,22.105,12916.88,10567.0,11434.7,2.03
000004,2017-08-17,22.68,24.48,23.48,22.67,28987.95,0.82,3.62,22.51,22.231,16913.33,12616.51,11791.9,3.49
000004,2017-08-18,23.16,23.3,23.1,22.87,15597.58,-0.38,-1.62,22.728,22.353,16441.41,13465.24,11916.03,1.88
000004,2017-08-21,23.08,23.55,23.31,22.9,10796.97,0.21,0.91,22.954,22.484,16340.28,13875.3,11997.41,1.3
000004,2017-08-22,23.29,23.44,22.93,22.9,9990.99,-0.38,-1.63,23.096,22.586,16440.5,14063.58,12102.19,1.2
000004,2017-08-23,22.93,23.15,22.67,22.56,10534.45,-0.26,-1.13,23.098,22.636,15181.59,14049.23,12254.14,1.27
000004,2017-08-24,22.67,22.82,22.4,22.38,10494.8,-0.27,-1.19,22.882,22.696,11482.96,14198.14,11404.7,1.26
000004,2017-08-25,22.45,22.77,22.66,22.35,10038.92,0.26,1.16,22.794,22.761,10371.23,13406.32,11191.07,1.21
000004,2017-08-28,22.64,23.08,23.02,22.64,11249.81,0.36,1.59,22.736,22.845,10461.79,13401.04,11390.97,1.36
000004,2017-08-29,23.03,23.25,22.93,22.83,14279.92,-0.09,-0.39,22.736,22.916,11319.58,13880.04,11778.27,1.72
000004,2017-08-30,22.88,22.96,22.7,22.6,13069.08,-0.23,-1.0,22.742,22.92,11826.51,13504.05,12035.53,1.58
000004,2017-08-31,22.75,23.16,23.15,22.66,16999.15,0.45,1.98,22.892,22.887,13127.38,12305.17,12460.84,2.05
000004,2017-09-01,23.16,23.26,23.08,22.96,10381.81,-0.07,-0.3,22.976,22.885,13195.95,11783.59,12624.42,1.25
000004,2017-09-04,23.08,23.13,22.95,22.83,17713.61,-0.13,-0.56,22.962,22.849,14488.71,12475.25,13175.28,2.14
000004,2017-09-05,22.99,23.23,23.12,22.85,14132.96,0.17,0.74,23.0,22.868,14459.32,12889.45,13476.51,1.7
000004,2017-09-06,22.99,23.65,23.6,22.82,26890.63,0.48,2.08,23.18,22.961,17223.63,14525.07,14287.15,3.24
000004,2017-09-07,23.7,24.74,24.47,23.45,42751.83,0.87,3.69,23.444,23.168,22374.17,17750.77,15974.46,5.15
000004,2017-09-08,24.45,24.64,24.58,24.14,30989.82,0.11,0.45,23.744,23.36,26495.77,19845.86,16626.09,3.74
000004,2017-09-11,24.57,25.5,25.46,24.42,31999.48,0.88,3.58,24.246,23.604,29352.94,21920.83,17660.93,3.86
000004,2017-09-12,25.31,25.31,24.71,24.68,27387.6,-0.75,-2.95,24.564,23.782,32003.87,23231.6,18555.82,3.3
000004,2017-09-13,24.61,25.1,24.84,24.37,10777.64,0.13,0.53,24.812,23.996,28781.27,23002.45,18253.25,1.3
000004,2017-09-14,24.66,25.7,25.05,24.54,13998.0,0.21,0.84,24.928,24.186,23030.51,22702.34,17503.75,1.69
000004,2017-09-15,25.17,25.17,24.76,24.69,12297.08,-0.29,-1.16,24.964,24.354,19291.96,22893.87,17338.73,1.48
000004,2017-09-18,24.2,24.97,24.76,24.2,7343.16,0.0,0.0,24.824,24.535,14360.7,21856.82,17166.04,0.89
000004,2017-09-19,24.89,25.26,24.48,24.31,7492.0,-0.28,-1.13,24.778,24.671,10381.58,21192.72,17041.09,0.9
000004,2017-09-20,24.36,24.68,24.49,24.33,7456.32,0.01,0.04,24.708,24.76,9717.31,19249.29,16887.18,0.9
000004,2017-09-21,24.49,24.59,24.32,24.28,5790.0,-0.17,-0.69,24.562,24.745,8075.71,15553.11,16651.94,0.7
000004,2017-09-22,24.35,24.54,24.27,24.11,8364.01,-0.05,-0.21,24.464,24.714,7289.1,13290.53,16568.2,1.01
000004,2017-09-25,23.99,24.4,24.15,23.99,5104.1,-0.12,-0.49,24.342,24.583,6841.29,10600.99,16260.91,0.62
000004,2017-09-26,23.99,24.5,24.27,23.44,18935.57,0.12,0.5,24.3,24.539,9130.0,9755.79,16493.69,2.28
000004,2017-09-27,24.02,24.24,24.14,23.89,6734.46,-0.13,-0.54,24.23,24.469,8985.63,9351.47,16176.96,0.81
